llm	prompt_technique	test_id	weighted_score	response_time_ms	run_id	timestamp	difficulty	question	llm_call_success	strict_valid	strict_accuracy	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens	prompt_eval_count	eval_count	total_duration_ms	prompt_eval_duration_ms	eval_duration_ms	error_type	error_message
deepseek-coder-v2:latest	rules_generic_examples	test8	80.00	7518	run_0098	2026-05-11 03:58:28	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	2	0	0	2	2	1	7118	7118	1780	1959	104	7508	843	6540		
deepseek-coder-v2:latest	rules_generic_examples	test9	70.00	5709	run_0099	2026-05-11 03:58:35	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	2	0	0	2	2	0	7055	7055	1764	1948	77	5700	761	4837		
deepseek-coder-v2:latest	rules_generic_examples	test10	100.00	3253	run_0100	2026-05-11 03:58:41	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1941	41	3244	669	2492		
deepseek-coder-v2:latest	step_by_step_methodology	test1	100.00	20411	run_0101	2026-05-11 03:58:44	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7241	7241	1811	1916	62	20403	16563	3750		
deepseek-coder-v2:latest	step_by_step_methodology	test2	85.00	5430	run_0102	2026-05-11 03:59:05	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	false	true	true	true	0	0	0	0	0	0	7262	7262	1816	1921	79	5422	462	4865		
deepseek-coder-v2:latest	step_by_step_methodology	test3	70.00	4984	run_0103	2026-05-11 03:59:10	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	false	true	1	1	1	0	0	1	7292	7292	1823	1927	70	4975	538	4326		
deepseek-coder-v2:latest	step_by_step_methodology	test4	85.00	4220	run_0104	2026-05-11 03:59:15	medium	What is the total store cost by product family and store city for stores in the USA?	true	false	0.00	true	true	true	true	false	true	0	1	1	0	0	0	7256	7256	1814	1916	62	4212	400	3727		
deepseek-coder-v2:latest	step_by_step_methodology	test5	55.00	4918	run_0105	2026-05-11 03:59:19	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	false	1	1	2	1	0	0	7240	7240	1810	1918	72	4909	432	4383		
deepseek-coder-v2:latest	step_by_step_methodology	test6	85.00	4444	run_0106	2026-05-11 03:59:24	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	false	true	true	true	0	0	0	0	0	1	7282	7282	1821	1918	64	4436	454	3890		
deepseek-coder-v2:latest	step_by_step_methodology	test7	100.00	6110	run_0107	2026-05-11 03:59:29	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7288	7288	1822	1927	88	6101	521	5469		
deepseek-coder-v2:latest	step_by_step_methodology	test8	70.00	6353	run_0108	2026-05-11 03:59:35	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	2	0	0	3	3	0	7310	7310	1828	1928	91	6344	561	5665		
deepseek-coder-v2:latest	step_by_step_methodology	test9	70.00	5463	run_0109	2026-05-11 03:59:41	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7247	7247	1812	1917	80	5454	403	4954		
deepseek-coder-v2:latest	step_by_step_methodology	test10	100.00	2668	run_0110	2026-05-11 03:59:47	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7232	7232	1808	1910	37	2660	354	2234		
deepseek-coder-v2:latest	hybrid_self_check	test1	100.00	23201	run_0111	2026-05-11 03:59:49	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8412	8412	2103	2164	59	23192	19253	3837		
deepseek-coder-v2:latest	hybrid_self_check	test2	70.00	5413	run_0112	2026-05-11 04:00:12	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	false	true	true	false	0	0	0	1	0	0	8433	8433	2109	2169	70	5403	803	4511		
deepseek-coder-v2:latest	hybrid_self_check	test3	55.00	6154	run_0113	2026-05-11 04:00:18	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	false	false	1	1	1	1	0	1	8463	8463	2116	2175	79	6145	863	5152		
deepseek-coder-v2:latest	hybrid_self_check	test4	100.00	5008	run_0114	2026-05-11 04:00:24	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8427	8427	2107	2164	64	4997	766	4139		
deepseek-coder-v2:latest	hybrid_self_check	test5	85.00	6215	run_0115	2026-05-11 04:00:29	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	true	0	0	1	0	0	1	8411	8411	2103	2166	82	6205	765	5336		
deepseek-coder-v2:latest	hybrid_self_check	test6	85.00	6013	run_0116	2026-05-11 04:00:35	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	false	true	true	true	0	0	0	0	0	1	8453	8453	2114	2166	79	6003	771	5113		
deepseek-coder-v2:latest	hybrid_self_check	test7	80.00	6734	run_0117	2026-05-11 04:00:41	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	0	1	8459	8459	2115	2175	89	6725	884	5734		
deepseek-coder-v2:latest	hybrid_self_check	test8	70.00	7506	run_0118	2026-05-11 04:00:48	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	1	0	0	3	1	0	8481	8481	2121	2176	100	7496	874	6482		
deepseek-coder-v2:latest	hybrid_self_check	test9	55.00	6214	run_0119	2026-05-11 04:00:55	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	false	true	true	false	0	0	0	2	2	0	8418	8418	2105	2165	82	6205	809	5296		
deepseek-coder-v2:latest	hybrid_self_check	test10	100.00	3292	run_0120	2026-05-11 04:01:02	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8403	8403	2101	2158	39	3281	717	2491		
